trial,n_total_customers,uf_target,pf,cluster_min,cluster_max,n_clusters,n_25kva,n_50kva,n_75kva,n_oversize_clusters,installed_kva_total,sum_cluster_peak_kw
220,27,0.8,0.9,1,12,3,0,1,1,1,125.0,222.91641314564052
221,27,0.8,0.9,1,12,6,1,2,3,0,350.0,251.13489939045425
222,27,0.8,0.9,1,12,5,1,2,1,1,200.0,233.05692456433036
223,27,0.8,0.9,1,12,5,2,1,0,2,100.0,236.73319829870206
224,27,0.8,0.9,1,12,6,1,3,0,2,175.0,255.98294260628435
225,27,0.8,0.9,1,12,4,0,2,1,1,175.0,223.75941905148392
226,27,0.8,0.9,1,12,7,2,3,1,1,275.0,256.4608418993092
227,27,0.8,0.9,1,12,5,2,0,2,1,200.0,240.28030348906196
228,27,0.8,0.9,1,12,6,2,1,2,1,250.0,253.8114897244517
229,27,0.8,0.9,1,12,5,1,1,2,1,225.0,236.71568689517403
230,27,0.8,0.9,1,12,5,2,0,1,2,125.0,237.7987419390365
231,27,0.8,0.9,1,12,4,0,1,2,1,200.0,232.34795550814238
232,27,0.8,0.9,1,12,5,1,1,2,1,225.0,240.91397168137306
233,27,0.8,0.9,1,12,3,0,0,2,1,150.0,213.57851264961727
234,27,0.8,0.9,1,12,4,1,0,2,1,175.0,222.2264929440907
235,27,0.8,0.9,1,12,3,0,1,0,2,50.0,219.17822222161215
236,27,0.8,0.9,1,12,4,0,1,1,2,125.0,227.07328053346168
237,27,0.8,0.9,1,12,5,1,1,2,1,225.0,248.2086980008673
238,27,0.8,0.9,1,12,6,2,0,3,1,275.0,258.889502324028
239,27,0.8,0.9,1,12,3,0,0,1,2,75.0,211.49161356004038
240,27,0.8,0.9,1,12,4,0,1,2,1,200.0,234.9392073796642
241,27,0.8,0.9,1,12,5,1,2,1,1,200.0,239.54303854246137
242,27,0.8,0.9,1,12,7,3,1,3,0,350.0,258.65656847012184
243,27,0.8,0.9,1,12,5,3,0,0,2,75.0,222.47290014853394
244,27,0.8,0.9,1,12,6,2,2,1,1,225.0,237.89859858857366
245,27,0.8,0.9,1,12,6,1,3,0,2,175.0,256.41009864451314
246,27,0.8,0.9,1,12,4,0,1,2,1,200.0,239.5876601410892
247,27,0.8,0.9,1,12,6,1,3,1,1,250.0,252.00050240999093
248,27,0.8,0.9,1,12,5,1,2,1,1,200.0,249.26727599144255
249,27,0.8,0.9,1,12,5,0,3,1,1,225.0,244.80498935802217
